236;2237;231;233;303;2234;302;298;301
185;204;1496;384;2231;950;206;2240;185
2243;203;241;382;245;195;244;2246;198
322;2249;2252;326;954;324;2228;2255;321
2258;293;2261;517;295;229;206;297;201
198;201;1496;263;2231;195;192;194;200
224;204;226;233;2225;228;221;227;223
186;2198;231;233;235;195;238;214;236
209;293;214;515;2225;218;211;213;209
236;2237;231;2350;303;1487;302;214;301
318;2201;277;1419;320;218;2198;298;319
185;189;2216;2207;186;950;187;2213;185
185;307;231;233;308;195;309;214;306
185;286;229;385;287;195;187;290;287
186;202;214;2350;235;2222;302;298;203
222;204;226;263;209;229;283;213;199
280;1640;277;518;274;2195;272;2204;270
262;266;214;263;265;259;267;1481;321
271;1484;277;263;274;1487;272;215;270
198;1484;256;217;236;258;192;254;1477
236;2201;231;379;248;218;1475;252;249
