546;567;578;567;551;585;602;1613
1616;199;1616;563;553;1619;594;403
2264;560;574;2315;195;297;594;2315
462;2288;1864;523;550;2309;594;538
461;199;1496;521;1498;588;-1;537
2267;557;364;565;531;2246;2353;448
461;480;487;952;195;290;599;1885
461;508;227;1873;461;290;598;223
462;199;256;523;552;581;599;538
461;202;231;235;2222;587;594;289
467;202;489;308;2493;584;605;388
2270;353;370;2297;324;290;596;1939
461;204;1909;521;2382;297;599;396
2273;2291;229;248;1470;2204;601;446
2276;556;576;305;2303;589;-1;388
547;312;573;313;549;587;601;388
2279;558;1625;347;427;2312;-1;570
2282;2294;214;270;218;214;-1;2586
464;355;227;524;258;214;595;448
2285;509;229;236;2306;252;592;332
