341;1639;1625;381;2376;1472;435;1490;1627
330;2198;374;233;392;2195;437;415;445
336;2326;2324;2399;397;229;336;226;451
346;358;370;381;345;420;238;1411;392
335;353;241;382;1658;425;329;408;449
1661;361;369;385;1629;1629;187;399;361
345;2356;364;380;264;218;346;411;341
334;1633;214;233;395;2359;301;400;453
330;358;214;378;392;420;2387;1685;434
329;350;214;233;388;229;302;401;388
338;352;368;263;2201;421;221;343;341
340;1636;1493;262;280;215;439;406;341
1632;203;375;384;396;2384;206;401;397
333;1652;372;379;249;420;301;405;332
341;1642;364;518;271;217;440;409;1640
332;360;371;1419;332;419;433;402;444
1643;293;1629;2399;390;1646;431;398;391
343;355;365;262;262;422;266;412;403
