0;1;;2;5;1,23
1;1;;5;2;0,2,4
2;1;Stonehenge;174;6;1
3;1;;2;3;4,22
4;1;Balts;2;4;1,3,5,7
5;1;;2;3;4,6,7
6;1;;2;3;5,8
7;1;;2;0;4,5,8,13
8;1;Kiev;2;4;6,7,10
9;1;;6;0;10
10;1;;2;3;8,9,11,13
11;1;Bulgars;4;4;10,35
12;1;;5;3;13
13;1;Yalta;2;4;10,12,14,128
14;1;;4;2;13,17
15;1;;2;0;17,122,128
16;1;;2;3;17,121
17;1;Constantinople;2;4;14,15,16,19
18;1;Adrianople;2;4;7,19,20,21
19;1;;2;3;17,18
20;1;;6;0;18,21
21;1;;4;0;18,20,22
22;1;;2;3;3,21,25,30
23;1;;5;2;0,24,25
24;1;Sepulchre of Solomon;400;6;23
25;1;Leon;2;4;22,23,26
26;1;;2;0;25,27
27;1;Cordora;2;4;26,28
28;1;;2;2;27,29,30,31
29;1;;2;5;28,3
30;1;Rome;2;4;22,28,29,32,120
31;1;;2;2;28,32,90,94
32;1;;2;5;30,31
33;4;Haunted House;176;6;34
34;4;;4;0;33,35
35;4;;2;0;11,34,36
36;4;;2;3;35,37,43
37;4;;6;3;36
38;4;Cave of Wonders;175;6;39
39;4;;4;3;38,4
40;4;Su-Chou;4;4;39,41,42,50
41;4;;2;0;40,42,48,49
42;4;;2;0;40,41,43,48
43;4;Samarkand;2;4;36,42,44
44;4;;4;0;43,46,47
45;4;;5;0;46
46;4;;2;0;44,45,47,54
47;4;Herat;2;4;44,46,48
48;4;;2;0;41,42,47
49;4;Lhasa;2;4;41,57,58
50;-1;;6;2;40,6
51;3;;2;3;52,53,125,126
52;3;Shiraz;2;4;51,53,55
53;3;;2;0;51,52,54,55
54;3;Zarandi;2;4;46,53,56
55;3;;2;0;52,53,56,63
56;3;;2;0;54,55,57,63
57;3;;4;0;56,58,62
58;3;;2;0;49,57,61
59;3;;4;0;60,61
60;3;;6;2;50,59,68
61;3;;2;0;58,59,67
62;3;The Valley of Diamonds;180;6;57
63;3;Daybul;2;4;55,56,64
64;3;;2;3;63,65,66
65;3;Tana;2;4;64,66,75
66;3;;2;3;64,65,67
67;3;;4;4;61,66
68;-1;;2;2;60,69
69;-1;;2;2;68,71,73
70;-1;;6;2;73
71;3;P'an P'an;2;4;69,72
72;3;;5;5;71
73;3;Serendib;4;4;69,70,74
74;-1;;2;2;65,73,75,77,86
75;-1;;2;2;65,74,76
76;-1;;2;2;75,78,117
77;-1;;2;5;74,78
78;-1;;2;2;76,77,79,108,113
79;-1;;2;2;78,80,82,108,113
80;-1;;2;2;79,81,112
81;-1;;4;2;80,82,85
82;-1;;2;2;79,81,84,86
83;-1;Undersea Kingdom;181;6;84
84;-1;;4;5;82,83
85;-1;;2;2;81,86,87
86;-1;;5;2;74,82,85
87;-1;;5;2;85,88
88;-1;The Dusky Land;182;6;87
89;2;;2;3;90,119
90;2;Alexandria;2;4;31,89,91,93
91;2;;2;1;90,92,98,99,100
92;2;;5;1;91
93;2;;2;1;90,94,98
94;2;Tripoli;2;4;31,93,97
95;2;The City of Brass;177;6;96
96;2;;4;1;95,97
97;2;;2;1;94,95,98
98;2;;4;1;91,93,97,99,104
99;2;Bilma;2;4;91,98,100,106,107
100;2;;2;0;91,99,107,108
101;2;The Jeweled Fortress;178;6;102
102;2;;4;1;101,103
103;2;Timbuktu;2;4;102,104
104;2;;2;1;98,103,106
105;2;;6;3;106
106;2;;2;1;99,104,105
107;2;;2;0;99,100,108,111
108;2;Zaila;2;4;100,107,109,113
109;2;;6;0;108
110;2;The Lake of Colors;179;6;111
111;2;;4;1;107,110,112
112;2;Bantus;4;4;80,111
113;0;;0;2;108,114
114;0;Mecca;0;4;113,115,116,123
115;0;;0;1;114,119,123
116;0;;0;3;114,124
117;0;Muskat;2;4;76,118
118;0;;0;2;117,124
119;0;Lamascus;0;4;89,115,120,123
120;0;;0;5;30,119
121;0;Antioch;0;4;16,122
122;0;;0;3;15,121,123,126,127,128
123;0;Baghdad The City of Peace;0;4;114,115,119,122,124,125,126,127
124;0;Basra;0;4;116,118,123,125
125;0;;0;0;51,123,124,126
126;0;Hamadan;0;4;51,122,123,125,127
127;0;;0;0;122,123,126,128
128;0;Tiflis;0;4;13,15,122,127
