1113;2143;2146;2029;2210;1118;1124;1129
1110;1105;2149;1071;2332;1108;1105;2131
1065;1079;1075;1070;1091;1150;1084;2131
1101;1104;2146;1143;2332;1102;1103;2131
1115;2143;2146;2029;2210;1116;1123;1130
1138;2032;2035;1148;2219;1151;1154;1147
1095;1098;2038;2041;2332;1096;1097;2131
1139;2032;2035;1148;2219;1150;1155;1146
1114;2134;2137;2140;2210;1116;1125;1128
1141;2032;2035;1143;2219;1142;1156;1144
1068;1078;1076;2041;1088;1622;1085;2044
1066;1080;1074;1071;1089;1622;1083;2044
1067;1081;1073;1072;1090;1623;1082;2044
